"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","command","dropout_rate","learning_rate","method","metric.goal","metric.name","name","optimizer","parameters.batch_sizes","parameters.dropout_rate.distribution","parameters.dropout_rate.max","parameters.dropout_rate.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.optimizers","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","program","weight_decay","avg_loss","loss","test.accuracy","test.f1","test.precision","test.recall","test_accuracy","test_f1","test_precision","test_recall","train.avg_loss","train.loss","val.acc","val.f1","val.f1-score","val.loss","val.precision","val.recall"
"dashing-sweep-63","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T18:29:07.000Z","100","x0vipaj7","64","","0.447606504934413","0.010465015740904578","","","","","SGD","","","","","","","","","","","","","0.009739306715032758","","","0.5989583333333334","0.5928070175438597","0.6238262910798121","0.5989583333333334","0.5989583333333334","0.5928070175438597","0.6238262910798121","0.5989583333333334","0.6638902366161347","","0.6138392857142857","0.6285572858506454","","0.6681859833853585","0.6907303712742298","0.6138392857142857"
"dry-sweep-43","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T17:51:13.000Z","101","x0vipaj7","64","","0.39447668294523","0.011685463658234757","","","","","SGD","","","","","","","","","","","","","0.004581203449624998","","","0.6041666666666666","0.5638697419582891","0.7006502470212147","0.6041666666666666","0.6041666666666666","0.5638697419582891","0.7006502470212147","0.6041666666666666","0.5107439860701561","","0.6696428571428571","0.7095220353417074","","0.6339379974773952","0.8526785714285714","0.6696428571428571"
"avid-sweep-8","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T16:43:09.000Z","101","x0vipaj7","64","","0.16235673019694913","0.03974168569762992","","","","","SGD","","","","","","","","","","","","","0.00791137318286166","","","0.59375","0.5182707153885744","0.7511627906976743","0.59375","0.59375","0.5182707153885744","0.7511627906976743","0.59375","0.4478080932050943","","0.5535714285714286","0.6476008756360194","","0.7391578725406102","0.9335106382978724","0.5535714285714286"
"glamorous-sweep-78","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T18:57:50.000Z","103","x0vipaj7","64","","0.3841736237216878","0.044503485697645055","","","","","RMSprop","","","","","","","","","","","","","0.0011461807960768918","","","0.59375","0.4424019607843137","0.3525390625","0.59375","0.59375","0.4424019607843137","0.3525390625","0.59375","15.290758609771729","","0.484375","0.6526315789473685","","13.704688889639716","1","0.484375"
"playful-sweep-167","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T21:51:26.000Z","106","x0vipaj7","32","","0.11075142808200554","0.09312267887357392","","","","","SGD","","","","","","","","","","","","","0.0014972666119404557","","","0.59375","0.4424019607843137","0.3525390625","0.59375","0.59375","0.4424019607843137","0.3525390625","0.59375","0.7523255325853825","","0.484375","0.6526315789473685","","0.7379263128553119","1","0.484375"
"firm-sweep-28","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T17:22:35.000Z","105","x0vipaj7","32","","0.4002022600516494","0.024193508306069644","","","","","SGD","","","","","","","","","","","","","0.004735229915701804","","","0.5833333333333334","0.4298245614035088","0.34027777777777785","0.5833333333333334","0.5833333333333334","0.4298245614035088","0.34027777777777785","0.5833333333333334","0.7033116959035397","","0.4397321428571429","0.6108527131782946","","0.7038769721984863","1","0.4397321428571429"
"fresh-sweep-23","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T17:12:07.000Z","121","x0vipaj7","16","","0.13551962343766727","0.03253486708175773","","","","","AdamW","","","","","","","","","","","","","0.0056164563136414545","","","0.5729166666666666","0.41735651214128033","0.3282335069444444","0.5729166666666666","0.5729166666666666","0.41735651214128033","0.3282335069444444","0.5729166666666666","3.0653417844325306","","0.49330357142857145","0.6606875934230194","","3.2275641773428236","1","0.49330357142857145"
"glorious-sweep-170","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T21:57:30.000Z","103","x0vipaj7","64","","0.12271527556505324","0.09447710661020228","","","","","AdamW","","","","","","","","","","","","","0.004520296475857366","","","0.5625","0.405","0.31640625","0.5625","0.5625","0.405","0.31640625","0.5625","11.271457648277282","","0.4977678571428571","0.6646795827123696","","12.364336831229071","1","0.4977678571428571"
"denim-sweep-171","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T21:59:19.000Z","103","x0vipaj7","64","","0.19621736418131652","0.041675440181671894","","","","","AdamW","","","","","","","","","","","","","0.003743958371453795","","","0.5625","0.405","0.31640625","0.5625","0.5625","0.405","0.31640625","0.5625","2.821446084976196","","0.4977678571428571","0.6646795827123696","","0.9233598623956952","1","0.4977678571428571"
"helpful-sweep-157","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T21:32:01.000Z","105","x0vipaj7","32","","0.33394019935485764","0.09575212036262502","","","","","SGD","","","","","","","","","","","","","0.001683603916526636","","","0.5572916666666666","0.3988642697881828","0.3105740017361111","0.5572916666666666","0.5572916666666666","0.3988642697881828","0.3105740017361111","0.5572916666666666","0.6964794814586639","","0.5","0.6666666666666666","","0.6931694022246769","1","0.5"
